entry_time,exit_time,side,entry_price,stop_price,tp1_price,tp2_price,tp1_hit,net_pnl,exit_reason,regime,bars_held
2024-10-16 05:45:00+00:00,2024-10-16 06:15:00+00:00,long,3.4287134999999997,3.418194024852436,3.513,3.592,False,-24.39376477553455,stop_loss,ranging,1
2024-10-20 09:30:00+00:00,2024-10-20 10:00:00+00:00,long,3.6198089999999996,3.6102308365458664,3.681,3.736,False,-21.59692385466105,stop_loss,ranging,1
2024-10-20 12:15:00+00:00,2024-10-20 12:45:00+00:00,long,3.6128055,3.597601980368132,3.673,3.736,False,-24.168163570326637,stop_loss,ranging,1
2024-10-20 14:00:00+00:00,2024-10-20 14:30:00+00:00,short,3.6991495000000003,3.6971020334181905,3.5785,3.482,False,-2.58336197048895,stop_loss,ranging,1
2024-10-20 16:30:00+00:00,2024-10-21 01:15:00+00:00,short,3.7871055000000005,3.819876313101329,3.6390000000000002,3.482,False,-21.734202557958632,stop_loss,ranging,34
2024-10-21 02:15:00+00:00,2024-10-21 02:45:00+00:00,long,3.645822,3.645880070253776,3.753,3.84,False,-5.6248715435553525,stop_loss,ranging,1
2024-10-21 08:15:00+00:00,2024-10-21 10:30:00+00:00,long,3.5687835,3.5540438543021113,3.6319999999999997,3.695,False,-23.584226407816214,stop_loss,ranging,8
2024-10-21 12:30:00+00:00,2024-10-21 13:00:00+00:00,long,3.5317649999999996,3.5316378154589416,3.584,3.623,False,-5.830795144972359,stop_loss,ranging,1
2024-10-21 16:15:00+00:00,2024-10-21 16:45:00+00:00,long,3.4827405,3.4769669644509933,3.5515,3.61,False,-14.906193228101804,stop_loss,ranging,1
2024-10-21 21:15:00+00:00,2024-10-21 22:30:00+00:00,short,3.5142420000000003,3.521234018567839,3.4745,3.439,False,-16.651438433635406,stop_loss,ranging,4
2024-10-22 01:15:00+00:00,2024-10-22 03:30:00+00:00,short,3.5272355,3.541155891131409,3.4939999999999998,3.46,True,61.7522375698778,tp1_then_tp2,ranging,8
2024-10-22 08:45:00+00:00,2024-10-22 09:15:00+00:00,long,3.411705,3.4092404906906215,3.4615,3.501,False,-9.817205623969068,stop_loss,ranging,1
2024-10-22 12:30:00+00:00,2024-10-22 14:30:00+00:00,long,3.3746865,3.367156810231064,3.4234999999999998,3.468,True,113.69072036511398,tp1_then_tp2,ranging,7
2024-10-23 06:15:00+00:00,2024-10-23 06:45:00+00:00,short,3.5012485000000004,3.4848073032827673,3.4425,3.411,False,15.791211440223417,stop_loss,ranging,1
2024-10-23 15:00:00+00:00,2024-10-23 15:30:00+00:00,long,3.379689,3.444166571884792,3.4965,3.533,False,19.129419338586665,stop_loss,ranging,1
2024-10-24 20:00:00+00:00,2024-10-24 21:30:00+00:00,short,3.2483750000000002,3.260420027502723,3.1995,3.15,False,-25.91088169281795,stop_loss,ranging,5
2024-10-25 00:15:00+00:00,2024-10-25 00:45:00+00:00,short,3.2843570000000004,3.2946595263100718,3.2405,3.196,False,-25.00435894787698,stop_loss,ranging,1
2024-10-25 02:00:00+00:00,2024-10-25 02:30:00+00:00,long,3.2116049999999996,3.2062204550768043,3.2560000000000002,3.295,False,-15.959411186496922,stop_loss,ranging,1
2024-10-25 04:15:00+00:00,2024-10-25 04:45:00+00:00,long,3.185592,3.1837832114377558,3.245,3.295,False,-9.274674542761558,stop_loss,ranging,1
2024-10-25 08:00:00+00:00,2024-10-25 08:30:00+00:00,long,3.1245615,3.1125053427884364,3.1929999999999996,3.259,False,-24.706163808049094,stop_loss,ranging,1
2024-10-25 10:45:00+00:00,2024-10-25 15:45:00+00:00,short,3.2393795,3.2587520755620907,3.176,3.108,True,94.11815982544289,tp1_then_tp2,ranging,19
2024-10-25 17:15:00+00:00,2024-10-25 17:45:00+00:00,long,2.983491,3.0020077444438655,3.112,3.204,False,17.037294445207436,stop_loss,ranging,1
2024-10-28 01:00:00+00:00,2024-10-28 01:30:00+00:00,long,2.8084035,2.799866273020766,2.862,2.914,False,-24.82775537730913,stop_loss,ranging,1
2024-10-28 20:45:00+00:00,2024-10-28 21:45:00+00:00,short,2.8415785000000002,2.8589753387741217,2.76,2.676,False,-23.57256953843742,stop_loss,ranging,3
2024-10-29 02:15:00+00:00,2024-10-29 02:45:00+00:00,short,2.9615185000000004,2.9471284735843923,2.875,2.82,False,15.909323976422899,stop_loss,ranging,1
2024-10-30 00:45:00+00:00,2024-10-30 01:15:00+00:00,long,2.8264125,2.8129424670935226,2.8609999999999998,2.896,False,-24.390012677004737,stop_loss,ranging,1
2024-10-30 06:00:00+00:00,2024-10-30 06:30:00+00:00,short,2.8795595,2.878578599017302,2.834,2.801,False,-3.9413019740676725,stop_loss,ranging,1
2024-10-30 09:15:00+00:00,2024-10-30 09:45:00+00:00,short,2.8925530000000004,2.906335251744013,2.852,2.811,False,-24.079255510704947,stop_loss,ranging,1
